flux-corrected-1  | 2026-08-07T13:29:01.519582734Z Picked up JAVA_TOOL_OPTIONS: -Xms512m -Xmx2g -XX:+UseG1GC
flux-corrected-1  | 2026-08-07T13:29:02.653741731Z 
flux-corrected-1  | 2026-08-07T13:29:02.653779529Z   .   ____          _            __ _ _
flux-corrected-1  | 2026-08-07T13:29:02.653782639Z  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
flux-corrected-1  | 2026-08-07T13:29:02.653787523Z ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
flux-corrected-1  | 2026-08-07T13:29:02.653789545Z  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
flux-corrected-1  | 2026-08-07T13:29:02.653791346Z   '  |____| .__|_| |_|_| |_\__, | / / / /
flux-corrected-1  | 2026-08-07T13:29:02.653813036Z  =========|_|==============|___/=/_/_/_/
flux-corrected-1  | 2026-08-07T13:29:02.654737668Z  :: Spring Boot ::                (v2.7.9)
flux-corrected-1  | 2026-08-07T13:29:02.654747985Z 
flux-corrected-1  | 2026-08-07T13:29:02.752671832Z 2026-08-07 22:29:02.749  INFO 1 --- [           main] c.e.d.DoEngGameFluxApplication           : Starting DoEngGameFluxApplication using Java 11.0.31 on 2952b51b66d0 with PID 1 (/app/app.jar started by root in /app)
flux-corrected-1  | 2026-08-07T13:29:02.753213991Z 2026-08-07 22:29:02.752  INFO 1 --- [           main] c.e.d.DoEngGameFluxApplication           : The following 1 profile is active: "experiment"
flux-corrected-1  | 2026-08-07T13:29:03.584138559Z 2026-08-07 22:29:03.583  INFO 1 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
flux-corrected-1  | 2026-08-07T13:29:03.585199106Z 2026-08-07 22:29:03.585  INFO 1 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data R2DBC repositories in DEFAULT mode.
flux-corrected-1  | 2026-08-07T13:29:03.704676019Z 2026-08-07 22:29:03.704  INFO 1 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 116 ms. Found 2 R2DBC repository interfaces.
flux-corrected-1  | 2026-08-07T13:29:05.805998549Z 2026-08-07 22:29:05.805  INFO 1 --- [           main] o.s.b.web.embedded.netty.NettyWebServer  : Netty started on port 8000
flux-corrected-1  | 2026-08-07T13:29:05.846966961Z 2026-08-07 22:29:05.846  INFO 1 --- [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 6 endpoint(s) beneath base path '/actuator'
flux-corrected-1  | 2026-08-07T13:29:05.873978547Z 2026-08-07 22:29:05.873  INFO 1 --- [           main] o.s.b.web.embedded.netty.NettyWebServer  : Netty started on port 9091
flux-corrected-1  | 2026-08-07T13:29:05.883047582Z 2026-08-07 22:29:05.882  INFO 1 --- [           main] c.e.d.DoEngGameFluxApplication           : Started DoEngGameFluxApplication in 4.002 seconds (JVM running for 4.363)
flux-corrected-1  | 2026-08-07T13:29:18.230323901Z 2026-08-07 22:29:18.153  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u22-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4248
flux-corrected-1  | 2026-08-07T13:29:18.230418652Z 2026-08-07 22:29:18.230  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u26-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4296
flux-corrected-1  | 2026-08-07T13:29:18.230447856Z 2026-08-07 22:29:18.230  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u1-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4636
flux-corrected-1  | 2026-08-07T13:29:18.232337194Z 2026-08-07 22:29:18.231  INFO 1 --- [or-http-epoll-2] c.e.d.c.ExperimentRequestLoggingFilter   : experiment_request runId=SINK-C400-Q3-SERIALIZED-R1 requestId=SINK-C400-Q3-SERIALIZED-R1-u30-f1 method=POST path=/game/face status=200 signal=onComplete latencyMs=4286
